"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";
"BATV+";"BAT_POS_VOLT";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";
"BATV-";"BAT_GND";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";
"C1";"0.1uF";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C2";"22p";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C3";"0.1uF";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C4";"22p";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C5";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C6";"1uF";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C7";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C8";"0.1uF";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C9";"220nF";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C10";"0.1uF";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C11";"0.1uF";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"D1";"0.2V";"DIODE-ZENER3.3V";"SOD-323";"Zener Diode";"";"";"";"";"";"DIO-11284";"";"3.3V";
"H1";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";
"H2";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";
"H3";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";
"H4";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";
"JP1";"AVR_SPI_PROG";"M05X2SHD_LOCK";"2X5-SHROUDED_LOCK";"Header 5x2";"";"";"";"";"";"";"";"";
"L1";"22uH";"L-USL4532P";"L4532P";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";
"L7805";"L7805";"78XXL";"78XXL";"VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";
"LEDV+";"LED_V+";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";
"LEDV-";"LED_V-";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";
"PWR_SWTCH";"SWITCH_SPDT";"SWITCH_SPDT";"KPS-1290";"SWCH-10651";"";"";"";"";"";"SWCH-10651";"";"";
"R1";"10";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R3";"10k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"RESET";"RESET";"MYSMD_PB157";"SMD_157SW";"";"";"";"";"";"";"";"";"";
"SR04";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";"";"";"";"";
"U1";"ATMEGA328P-MU";"ATMEGAXX8-AU";"TQFP32-08";"MICROCONTROLLER";"";"";"";"";"";"";"";"";
"U4";"TPS61161ADRVT";"TPS61161ADRVT";"SON65P200X200X80-7N";"White LED Driver With PWM";"";"TPS61161ADRVT";"1735594";"10R0471";"SON-6";"";"Texas Instruments";"";
"X2";"16MHz";"CRYSTAL-3.2-2.5";"CRYSTAL-3.2-2.5";"";"";"";"";"";"";"";"";"";
